Scenes	Sl. No.	Start_time	End_time	Utterance	Label	Speaker
Scene_1	1	0:00:46.250000	0:00:01.240000	हेलो हैंडसम।	non-humor	Koki,u-
Scene_1	2	0:00:47.850000	0:00:01.080000	मम्मी!	humor	Chintu,u1
Scene_1	3	0:00:49.370000	0:00:03.520000	मम्मी, आप के सर पर इतने सारे टनल्स क्यूं बने है?	humor	Chintu,u1
Scene_1	4	0:00:52.930000	0:00:01.360000	अपनी ट्रेन निकालू इस टनल्स से?	humor	Chintu,u1
Scene_1	5	0:00:54.370000	0:00:01.200000	ऐ चिंटू!	non-humor	Koki,u4
Scene_1	6	0:00:56.490000	0:00:01.760000	मैंने बालों का स्टाइल बदला है।	non-humor	Koki,u4
Scene_1	7	0:00:59.250000	0:00:02.320000	जिस आदमी को तुम पापा पापा कहते हो वो कहां है?	humor	Koki,u4
Scene_1	8	0:01:01.690000	0:00:01.200000	वो आदमी अंदर है।	non-humor	Chintu,u7
Scene_1	9	0:01:03.650000	0:00:01.600000	अच्छा। जरा बुलाओ।	non-humor	Koki,u8
Scene_1	10	0:01:05.450000	0:00:01.200000	पापा!	non-humor	Chintu,u9
Scene_1	11	0:01:09.010000	0:00:00.880000	क्या है, चिंटू?	non-humor	Keshu,u10
Scene_1	12	0:01:09.970000	0:00:01	पीछे मुड़ के देखो।	non-humor	Chintu,u11
Scene_1	13a	0:01:11.010000	0:00:00.400000	क्यों?	non-humor	Keshu,u12
Scene_1	13b	0:01:11.460000	0:00:01.150000	अरे देखो तो।	non-humor	Chintu,u13a
Scene_1	14a	0:01:15.490000	0:00:00.936000	केशू।	non-humor	Koki,u13b
Scene_1	14b	0:01:16.476000	0:00:02.134000	कोकी	humor	Keshu,u14a
Scene_1	15	0:01:18.690000	0:00:01	ये क्या हालत बना ली है	humor	Keshu,u14a
Scene_1	16	0:01:19.770000	0:00:02.200000	तुमहारे बालों को किसी ने गोलियों से छलनी कर दिया क्या	humor	Keshu,u14a
Scene_1	17	0:01:22.010000	0:00:01	चुप करो!	non-humor	Koki,u16
Scene_1	18	0:01:23.090000	0:00:02	मैं दुल्हान ब्यूटी पार्लर गई थी।	non-humor	Koki,u16
Scene_1	19a	0:01:25.370000	0:00:01.366857	और तुम्हें वहां इन्ट्री मिल गई?	humor	Keshu,u18
Scene_1	19b	0:01:26.786857	0:00:00.663143	क्यों?	non-humor	Koki,u19a
Scene_1	20	0:01:27.530000	0:00:01.680000	नहीं नाम दुल्हन ब्यूटी पार्लर है ना	non-humor	Keshu,u19b
Scene_1	21	0:01:29.370000	0:00:01.600000	और तुम्हारी उम्र तो कब की निकल चुकी है	humor	Keshu,u19b
Scene_1	22	0:01:34.170000	0:00:01.840000	सच सच बताओ। कैसी लग रही हूं?	non-humor	Koki,u20
Scene_1	23	0:01:36.170000	0:00:01.120000	सच सच बताऊ?	non-humor	Keshu,u22
Scene_1	24	0:01:37.370000	0:00:01	कैसी लग रही हो?	non-humor	Keshu,u22
Scene_1	25	0:01:39.010000	0:00:03.440000	सिंगल टेकर बस को काट पीट कर डबल टेकर बना दिया हो वैसी लग रही है	humor	Keshu,u22
Scene_1	26	0:01:44.690000	0:00:05.320000	जभी भी प्रेमा शालिनी कुछ ऐसा नया करती है तो कैसे बोलते हो, प्रेमा जी यू आर लुकिंग ब्यूटीफुल	non-humor	Koki,u25
Scene_1	28	0:01:50.410000	0:00:03.040000	क्यूं नहीं कहुंगा। वो हीरोइन जो ठहरीं।	non-humor	Keshu,u26
Scene_1	29	0:01:53.570000	0:00:01.680000	मैं भी हीरोइन बनने वाली हूं।	non-humor	Koki,u28
Scene_1	30	0:01:55.330000	0:00:01.880000	तुम? हीरोइन?	non-humor	Keshu,u29
Scene_1	31	0:01:59.370000	0:00:03.040000	क्यों कोई प्रोड्यूशर सुसाइड करने की सोच रहा है क्या?	humor	Keshu,u29
Scene_1	32	0:02:03.130000	0:00:02.200000	मैं एक बात  बताऊं।	non-humor	Keshu,u29
Scene_1	33	0:02:05.410000	0:00:00.960000	इस हालत में ना घर से बाहर मत जाना।	humor	Keshu,u29
Scene_1	34	0:02:06.490000	0:00:00.880000	क्यों?	non-humor	Koki,u33
Scene_1	35	0:02:07.450000	0:00:02.400000	कोई चिड़िया आकर तुम्हारे सर पर अंडा छोड़ जाएगी।	humor	Keshu,u34
Scene_1	36	0:02:11.610000	0:00:01.280000	हंस ना हंस ना ।।	non-humor	Keshu,u34
Scene_1	37	0:02:12.970000	0:00:02.800000	मैं फालतू पी जे पर नहीं हंसता।	humor	Chintu,u36
Scene_1	38	0:02:19.130000	0:00:01.040000	ये देखो ये क्या है।	non-humor	Koki,u37
Scene_1	39	0:02:20.490000	0:00:02.480000	कोकिला कुलकर्णी। टू लैक्स ओनली!	humor	Keshu,u38
Scene_1	40	0:02:24.010000	0:00:01.120000	ये सच्चा है?	non-humor	Keshu,u38
Scene_1	41a	0:02:25.410000	0:00:01.502222	दिखाओ दिखाओ।	humor	Keshu,u38
Scene_1	41b	0:02:26.962222	0:00:05.207778	देखो देखो देखो देखो देखो देखो ..	humor	Koki,u41a
Scene_1	43	0:02:35.210000	0:00:04	क्या बात है। पापा मेरे साथ तो कभी ऐसा गेम नहीं खेलते	humor	Chintu,u41b
						
Scene_2	45	0:02:44.410000	0:00:01.040000	फोन उठाओ।	non-humor	Koki,u-
Scene_2	46	0:02:55.010000	0:00:00.640000	हलो।	non-humor	Keshu,u45
Scene_2	47	0:02:55.730000	0:00:01.640000	हलो मधुप्रिया जी हैं?	non-humor	Toto,u46
Scene_2	48	0:02:57.450000	0:00:01.480000	कौन मधुप्रिया! इडियट।	humor	Keshu,u47
Scene_2	49	0:02:59.410000	0:00:00.960000	रॉग नम्बर।	non-humor	Keshu,u47
Scene_2	50	0:03:00.810000	0:00:01.280000	केशू, ये मेरा फोन है।	non-humor	Koki,u49
Scene_2	51	0:03:02.170000	0:00:01.840000	कोकिला से मधुप्रिया कब हो गई?	non-humor	Keshu,u50
Scene_2	52	0:03:04.090000	0:00:02.080000	चुप रहो। ये मेरा फिल्मी नाम है।	humor	Koki,u51
Scene_2	53	0:03:06.250000	0:00:00.960000	फिल्मी नाम।	non-humor	Keshu,u52
Scene_2	54	0:03:07.530000	0:00:02.080000	हैलो। मधुप्रिया हीयर।	humor	Koki,u53
Scene_2	55	0:03:09.690000	0:00:01.360000	कौन बोल रहे हैं।	non-humor	Koki,u53
Scene_2	56	0:03:11.370000	0:00:03.240000	हैलो, मधु जी। मैं हीरालाल।	non-humor	Toto,u55
Scene_2	57	0:03:14.690000	0:00:03.760000	ओ हो हो हिरालाल जी। कैसे हैं आप?	non-humor	Koki,u56
Scene_2	58	0:03:18.530000	0:00:01.680000	बताइए कैसे याद किया?	non-humor	Koki,u56
Scene_2	59	0:03:20.690000	0:00:04.230000	मधु जी आपको याद है ना परसों हम लोग शूटिंग करने वाले हैं, बंगले पे	non-humor	Toto,u58
Scene_2	61	0:03:25.690000	0:00:03.840000	ओ वॉव! परसों शूटिंग है, बंगलो पे!	humor	Koki,u59
Scene_2	63	0:03:29.770000	0:00:01.840000	ठीक है ठीक है। बंगलो का नाम क्या है?	non-humor	Koki,u59
Scene_2	64	0:03:31.930000	0:00:02.480000	मैखाना।	humor	Toto,u63
Scene_2	65	0:03:34.770000	0:00:01	मैखाना।	non-humor	Koki,u64
Scene_2	66	0:03:37.450000	0:00:02.400000	अच्छा ये कहां है? आप मुझे ऐडरेस मैसेज कर दीजिए।	non-humor	Koki,u64
Scene_2	67	0:03:39.930000	0:00:00.960000	मैं पहुँच जाऊँगी।	non-humor	Koki,u64
Scene_2	68	0:03:41.530000	0:00:04.760000	यारी रोड, सांता क्रूज़। वर्सोवा के बीच में है।	humor	Toto,u67
Scene_2	69	0:03:46.730000	0:00:01.440000	अच्छा। वर्सोवा के आस पास।	non-humor	Koki,u68
Scene_2	70	0:03:48.250000	0:00:02.240000	नो प्रॉबलेम। मैं पहुच जाउगी, हीरालाल जी।	non-humor	Koki,u68
Scene_2	71	0:03:50.570000	0:00:02.880000	नहीं नहीं आप तो सीधा हमारे ऑफिस में आ जाओ	non-humor	Toto,u70
Scene_2	72	0:03:53.570000	0:00:02.600000	और इधर से सीधा हमलोग बंगलो में जाएंगे साथ में।	non-humor	Toto,u70
Scene_2	73	0:03:56.250000	0:00:01.520000	आपको ढ़ूढ़ने में तकलीफ होगी ना।	non-humor	Toto,u70
Scene_2	74	0:03:58.090000	0:00:03.520000	और आपको याद है ना सब वो वो सब ज्वेलरी और कपड़े कैरी करना है	non-humor	Toto,u70
Scene_2	75	0:04:01.690000	0:00:01.200000	मेरे कपड़े और गहने।	non-humor	Toto,u70
Scene_2	76	0:04:02.970000	0:00:04.320000	हा। ठीक है। नो प्रॉबलेम।	non-humor	Koki,u75
Scene_2	77	0:04:07.370000	0:00:03.600000	मेरे पास बस 2-3 सेट हैं। वो लेकर मैं आउगी।	humor	Koki,u75
Scene_2	78	0:04:12.490000	0:00:02.800000	वैसे ये किस सीन के लिए यूज होगा हीरालाल जी?	non-humor	Koki,u75
Scene_2	79	0:04:15.450000	0:00:03.440000	नहीं नहीं आप सीधा इधर आ जाओ ना। और यहीं से आपको मैं सब समझा दुगा।	non-humor	Toto,u78
Scene_2	80	0:04:18.970000	0:00:01.560000	और इधर से आउटडोर निकल जाएंगे ना।	non-humor	Toto,u78
Scene_2	81	0:04:20.930000	0:00:02.480000	ओ माई गॉड! आउटडोर जा रहे है?	non-humor	Koki,u80
Scene_2	82	0:04:23.650000	0:00:03.520000	कहां जा रहे हैं हम शिमला, डलहौजी, मैक्लोडगंज हा	humor	Koki,u80
Scene_2	83	0:04:27.570000	0:00:01.800000	या फिर स्विट्जरलैंड?	humor	Koki,u80
Scene_2	84	0:04:29.810000	0:00:01.440000	अरे नहीं नहीं आप बोलो उधर ।	non-humor	Toto,u83
Scene_2	85	0:04:31.410000	0:00:03.840000	आप बोलो तो मॉरीशस, आप बोलो तो भटिंडा, आप बोलो तो नागपाड़ा ।।	humor	Toto,u83
Scene_2	86	0:04:35.490000	0:00:01.920000	नालासोपारा ।।	humor	Toto,u83
Scene_2	87	0:04:39.170000	0:00:02.400000	हाउ स्वीट! हाउ नाइस ऑफ यू।	non-humor	Koki,u86
Scene_2	88	0:04:41.650000	0:00:02.160000	अच्छा हीरालाल जी, गुड नाइट।	non-humor	Koki,u86
Scene_2	89	0:04:43.890000	0:00:01.120000	स्वीट ड्रीम्स।	non-humor	Koki,u86
Scene_2	90	0:04:49.010000	0:00:01.240000	केशू!	non-humor	Koki,u86
Scene_2	91	0:04:52.650000	0:00:02.640000	और करो करो। पूरा घोसला बन गया उपर!	non-humor	Keshu,u90
Scene_2	92	0:04:55.370000	0:00:01.520000	केशू, प्लीज!	non-humor	Koki,u91
Scene_2	93	0:05:00.210000	0:00:01.240000	थैंक्यू , केशू।	non-humor	Koki,u91
						
Scene_3	94	0:05:11.450000	0:00:05.440000	मेरे मेहबूब, मेरे प्रीतम! मैं तुम्हें दिलो जान से प्यार करती हूँ	humor	Koki,u-
Scene_3	96	0:05:17.130000	0:00:03.680000	आ मुझे बाहों में भर ले और मुझे चूम ले।	humor	Koki,u-
Scene_3	97	0:05:22.610000	0:00:01.080000	आ गया, केकू जी।	non-humor	Dilruba,u96
Scene_3	98	0:05:23.930000	0:00:01.600000	अरे दिलरुबा जी, अच्छा हुआ आप आ गए।	non-humor	Koki,u97
Scene_3	99	0:05:25.730000	0:00:02.240000	मुझे मेरे डायलॉग प्रैक्टिस करने में मदद कीजिए ना।	non-humor	Dilruba,u98
Scene_3	100a	0:05:28.370000	0:00:00.384000	डायलॉग?	non-humor	Koki,u99
Scene_3	100b	0:05:28.804000	0:00:00.846000	हाँ।	non-humor	Dilruba,u100a
Scene_3	101	0:05:29.890000	0:00:01.360000	मैं एक फिल्म में काम कर रही हूं।	non-humor	Koki,u100b
Scene_3	102	0:05:31.330000	0:00:01.360000	आप फिल्मों में..	non-humor	Dilruba,u101
Scene_3	103	0:05:33.130000	0:00:00.960000	हाँ।	humor	Koki,u102
Scene_3	104	0:05:37.050000	0:00:01.160000	आप बैठ क्यूं गए?	non-humor	Koki,u102
Scene_3	105	0:05:38.370000	0:00:03.160000	मैं जब भी सदमे में होता हूं मैं बैठ जाता हूं।	humor	Dilruba,u104
Scene_3	106	0:05:41.810000	0:00:01.120000	अच्छी आदत है।	non-humor	Koki,u105
Scene_3	107	0:05:43.010000	0:00:02.320000	आपको पता है। इस फिल्म की हीरोइन मैं हूं	non-humor	Koki,u105
Scene_3	108	0:05:45.410000	0:00:02.600000	और साइड हीरोइन आपकी प्रेमा शालिनी हैं।	humor	Koki,u105
Scene_3	109a	0:05:48.290000	0:00:00.336000	क्या!	non-humor	Dilruba,u108
Scene_3	109b	0:05:48.676000	0:00:00.734000	हाँ।	non-humor	Koki,u109a
Scene_3	110	0:05:52.050000	0:00:01.040000	फिर बैठ गए?	non-humor	Koki,u109a
Scene_3	111	0:05:53.170000	0:00:02.560000	कोकी जी, आप ऐसी बूरी खबरें सुनाती रहोगी ना	non-humor	Dilruba,u110
Scene_3	112	0:05:55.970000	0:00:02.120000	मैं ज़िन्दगी भर के लिए बैठा ही रहुंगा।	humor	Dilruba,u110
Scene_3	113	0:05:58.290000	0:00:01.760000	लेकिन आप क्यूं इतने दुखी हैं?	non-humor	Koki,u112
Scene_3	114	0:06:00.290000	0:00:03.440000	मैं दुखी इसलिए हूं कि ये सोच के कि केशू जी कितने दुखी होंगे।	humor	Dilruba,u113
Scene_3	115	0:06:04.210000	0:00:02.440000	उनहीं को तो बताने के लिए मैं फिल्मों में काम कर रही हूं।	non-humor	Koki,u114
Scene_3	116	0:06:07.210000	0:00:00.960000	क्या मतलब?	non-humor	Dilruba,u115
Scene_3	117	0:06:08.250000	0:00:02.560000	मैं उन्हें दिखाना चाहती हूं कि मैं भी कुछ कर सकती हूं।	non-humor	Koki,u116
Scene_3	118	0:06:10.890000	0:00:01.920000	अरे दिखाना ही है तो आप मेरे साथ भाग चलो ना।	humor	Dilruba,u117
Scene_3	119	0:06:12.890000	0:00:00.880000	क्या!	non-humor	Koki,u118
Scene_3	120	0:06:13.930000	0:00:04.960000	मेरा मतलब है, तो फिर इजीनियर बन जाओ, डॉक्टर बन जाओ, वकील बन जाओ इलेक्टिरीसियन बन जाओ पलम्बर बन जाओ	non-humor	Dilruba,u119
Scene_3	122	0:06:18.970000	0:00:02.240000	आप मेरी मदद करना चाहेंगे कि नही?	non-humor	Koki,u120
Scene_3	123	0:06:21.290000	0:00:00.560000	ये बताइए।	non-humor	Koki,u120
Scene_3	124a	0:06:21.930000	0:00:01.848000	आपके लिए तो एनी टाइम। अफकोर्स।	humor	Dilruba,u123
Scene_3	124b	0:06:23.828000	0:00:01.462000	ये बात।	non-humor	Koki,u124a
Scene_3	125	0:06:25.930000	0:00:00.960000	ये डायलॉग हैं देखो।	non-humor	Koki,u124a
Scene_3	126	0:06:26.970000	0:00:02.600000	हीरो के डायलॉग आप पढ़ के मुझे सुना देना।	non-humor	Koki,u124a
Scene_3	127	0:06:29.730000	0:00:02.040000	बाकी हीरोइन का डायलॉग मैं बोल दूंगी।	non-humor	Koki,u124a
Scene_3	128	0:06:31.970000	0:00:00.880000	शुरू करें?	non-humor	Koki,u124a
Scene_3	129	0:06:32.930000	0:00:01.760000	या या .. देखिए आज मुझे बड़ा दुख हो रहा है।	non-humor	Dilruba,u128
Scene_3	130	0:06:35.010000	0:00:00.840000	क्यों?	non-humor	Koki,u129
Scene_3	131	0:06:35.930000	0:00:01.440000	नहीं नहीं, ऐसा लिखा है।	humor	Dilruba,u130
Scene_3	132	0:06:38.250000	0:00:00.960000	अकु बाई।	non-humor	Koki,u131
Scene_3	133	0:06:39.290000	0:00:02.800000	दिल तो करता है ये सारी लाइन्स मेरी होती।	non-humor	Dilruba,u132
Scene_3	134	0:06:43.010000	0:00:01	ये भी लिखा है क्या?	non-humor	Koki,u133
Scene_3	135	0:06:44.050000	0:00:02.120000	नहीं नहीं, ये दिल की लाइन मैने बोल दी।	humor	Dilruba,u134
