Scenes	Sl. No.	Start_time	End_time	Utterance	Label	Speaker
Scene_1	1	0:00:46.210000	0:00:01.120000	क्या कर रहे हो, दिल?	non-humor	Prema,u-
Scene_1	2	0:00:48.490000	0:00:01.120000	पनीर टिक्का'।	humor	Dilruba,u1
Scene_1	3	0:00:50.890000	0:00:02.360000	मैं यहाँ भूखी प्यासी बैठी हूँ	non-humor	Prema,u2
Scene_1	4	0:00:53.530000	0:00:01.960000	और तुम 'पनीर टिक्का' खा रहे हो।	non-humor	Prema,u2
Scene_1	5	0:00:56.010000	0:00:02	डॉल, तुम भूखी प्यासी नहीं बैठी हो।	humor	Dilruba,u4
Scene_1	6	0:00:58.290000	0:00:02.200000	तुम भूख हड़ताल पर बैठी हो।	humor	Dilruba,u4
Scene_1	7	0:01:00.530000	0:00:01.520000	तो, तुम मेरा साथ नहीं दोगे?	non-humor	Prema,u6
Scene_1	8	0:01:02.450000	0:00:02.360000	नहीं, मुझे कहां तुम्हारी तरह पतली हीरोइन बननी है।	humor	Dilruba,u7
Scene_1	9	0:01:09.450000	0:00:02.040000	दिल .. थोड़ा दो ना।	humor	Prema,u8
Scene_1	10	0:01:12.730000	0:00:01.240000	उहू।	non-humor	Dilruba,u9
Scene_1	11	0:01:15.650000	0:00:01.200000	दिल ।।	non-humor	Prema,u10
Scene_1	12a	0:01:17.050000	0:00:00.616000	प्लीज।	non-humor	Prema,u10
Scene_1	12b	0:01:17.716000	0:00:02.414000	अच्छा बाबा। देता हूं।	non-humor	Dilruba,u12a
Scene_1	13	0:01:21.290000	0:00:01.560000	बच्चों..	non-humor	Dilruba,u12a
Scene_1	14	0:01:23.730000	0:00:02.240000	या अच्छो .. मेरा मतलब है, यहाँ आना।	humor	Dilruba,u12a
Scene_1	15	0:01:27.610000	0:00:01.840000	यहां छुपा दो नीचे छुपा दो। इन्हें मत दिखाना।	non-humor	Prema,u14
Scene_1	16	0:01:29.610000	0:00:01.320000	देता हूँ देता हूँ ..	non-humor	Dilruba,u15
Scene_1	17	0:01:31.490000	0:00:03.360000	बच्चों, ये लो। आपस में मिलबाटकर का लेना या।	humor	Dilruba,u15
Scene_1	18	0:01:35.250000	0:00:01.120000	ओह!	non-humor	Prema,u17
Scene_1	19	0:01:37.290000	0:00:01.360000	ये तुमने क्या किया, दिल?	non-humor	Prema,u17
Scene_1	20	0:01:38.890000	0:00:02.520000	मैं यहाँ भूखी प्यासी बैठी हूं तुमने उन बच्चों को ।।	non-humor	Prema,u17
Scene_1	21	0:01:41.530000	0:00:02.360000	बच्चों, मत खाना। मत, खाना बच्चों ..	humor	Prema,u17
Scene_1	22	0:01:44.690000	0:00:02.440000	डॉल, अगर गरीबों बच्छों को खिलाऊंगा	non-humor	Dilruba,u21
Scene_1	23	0:01:47.330000	0:00:01.280000	मुझे दुआएं मिलेंगी।	non-humor	Dilruba,u21
Scene_1	24	0:01:49.570000	0:00:01.440000	और अगर मैं तुम्हें खिलाउगा	non-humor	Dilruba,u21
Scene_1	25	0:01:51.050000	0:00:01.640000	तो मुझे पब्लिक की जुतिया पड़ेगी।	humor	Dilruba,u21
Scene_1	26	0:01:58.490000	0:00:00.880000	शी।	humor	Prema,u25
Scene_1	27	0:02:00.090000	0:00:03.640000	डॉल, लगता है मेरा हाउस फुल हो गया स्टमक इज़ फुल पेट भर गया।	humor	Dilruba,u26
Scene_1	28	0:02:03.970000	0:00:01.480000	मुझे बहुत नींद आ रही है।	non-humor	Dilruba,u26
Scene_1	29	0:02:05.970000	0:00:01.200000	मैं घर चलता हूं, या?	humor	Dilruba,u26
Scene_1	30	0:02:08.090000	0:00:02.320000	डॉल, कल सुबे ब्रेकफास्ट में ना	non-humor	Dilruba,u26
Scene_1	31	0:02:10.570000	0:00:02.440000	मैं फ्रेंच टोस्ट, चीज़ सैंडविच	non-humor	Dilruba,u26
Scene_1	32	0:02:13.410000	0:00:01.920000	वड़ा, सांभर, डोसा, 'मेडु वड़ा'।	non-humor	Dilruba,u26
Scene_1	33	0:02:15.570000	0:00:02.480000	मैं सब खा के ना, तुम्हारे पास आऊँगा, या?	humor	Dilruba,u26
Scene_1	34	0:02:20.330000	0:00:01.240000	डॉल, गुड नाइट।	humor	Dilruba,u26
Scene_1	35	0:02:22.890000	0:00:01	इह।	humor	Dilruba,u26
Scene_1	36	0:02:29.650000	0:00:01.920000	भूख हड़ताल। प्रेमा शालिनी जिंदाबाद!	humor	Dilruba,u26
Scene_1	37a	0:02:32.170000	0:00:00.372000	शुभ रात्रि।	non-humor	Prema,u36
Scene_1	37b	0:02:32.592000	0:00:00.818000	शुभ रात्रि।	non-humor	Dilruba,u37
						
Scene_2	38a	0:02:56.330000	0:00:00.468000	नाइस सारी।	non-humor	Keshu,u-
Scene_2	38b	0:02:56.848000	0:00:01.042000	या या।	non-humor	Dilruba,u38a
