Scenes	Sl. No.	Start_time	End_time	Utterance	Label	Speaker
Scene_1	1	0:00:41.690000	0:00:02.760000	कोकी! कोकी, मेरी चाय देना तो।	humor	Keshu,u-
Scene_1	2	0:00:45.250000	0:00:02.320000	ओह! मैं तो भूल ही गया	non-humor	Keshu,u-
Scene_1	3	0:00:48.210000	0:00:01.560000	मेरी कोकी तो गुजर गई।	humor	Keshu,u-
Scene_1	4	0:00:51.850000	0:00:01.400000	कोकी!	non-humor	Keshu,u-
Scene_1	5	0:00:54.490000	0:00:01.720000	मेरी प्रिये	non-humor	Keshu,u-
Scene_1	6	0:00:56.410000	0:00:02.680000	तुम्हारे बगैर कौन पिलाएगा मुझे चाय?	humor	Keshu,u-
Scene_1	7	0:01:01.290000	0:00:01.400000	चाय..	humor	Koki,u6
Scene_1	8	0:01:02.930000	0:00:01.080000	बाबू जी..	non-humor	Koki,u6
Scene_1	9	0:01:04.170000	0:00:01.840000	ओह, मैं तो भूल ही गया था	non-humor	Keshu,u8
Scene_1	10	0:01:06.570000	0:00:01.560000	कोकी की सब्सीच्यूट भी आ गई है।	humor	Keshu,u8
Scene_1	11	0:01:10.210000	0:00:01.640000	कैसी लगी चाय?	humor	Koki,u10
Scene_1	12	0:01:12.650000	0:00:03.640000	इससे अच्छी चाय तो रेलवे स्टेशन पर मिलती है।	humor	Keshu,u11
Scene_1	13a	0:01:18.570000	0:00:00.544000	बाबू जी ..	non-humor	Koki,u12
Scene_1	13b	0:01:19.164000	0:00:00.766000	क्या है?	humor	Keshu,u13a
Scene_1	14	0:01:20.930000	0:00:02.240000	आपने कल मेरे घूंघट को क्यों छूआ?	humor	Koki,u13b
Scene_1	15	0:01:23.890000	0:00:06.080000	आ..वो वो वो वो वो वो तुम्हारे घूंघट पे कॉकरोच बैठा था।	humor	Keshu,u14
Scene_1	17	0:01:30.170000	0:00:02.920000	अब, तो रिवाज के हिसाब से, आपको मुझसे शादी करनी पड़ेगी।	humor	Koki,u15
Scene_1	18	0:01:33.170000	0:00:01.760000	अरे वाह ऐसा कैसा रिवाज!	non-humor	Keshu,u17
Scene_1	19	0:01:35.250000	0:00:03.600000	मुझे पहले से पता होता तो मैं घूंघट पर कॉकरोच मारने की दवाई डाल देता।	humor	Keshu,u17
Scene_1	21	0:01:39.330000	0:00:02.040000	क्यों? मैं इतनी बुरा हूँ?	non-humor	Koki,u19
Scene_1	22	0:01:41.570000	0:00:02.040000	मुझे क्या पता ? मुझे तो अबतक ये भी नहीं पता	non-humor	Keshu,u21
Scene_1	23	0:01:43.690000	0:00:01.960000	कि तुम पिंकी की भांजी हो या भांजा हो।	humor	Keshu,u21
Scene_1	24	0:01:46.170000	0:00:02.120000	वो तो शादी के बाद ही पता चलेगा।	non-humor	Koki,u23
Scene_1	25	0:01:48.370000	0:00:01.400000	लेकिन मुझे नहीं करनी है शादी।	non-humor	Keshu,u24
Scene_1	26	0:01:49.850000	0:00:01.240000	क्यों?	humor	Koki,u25
Scene_1	27	0:01:52.090000	0:00:02.040000	मेरी कोकी को कितना बुरा लगेगा।	humor	Keshu,u26
Scene_1	28	0:01:56.410000	0:00:01.520000	लेकिन वो तो निकल ली।	humor	Koki,u27
Scene_1	29	0:01:58.010000	0:00:01.840000	हां हां, वो तो निकल ली, लेकिन ..	humor	Keshu,u28
Scene_1	30	0:02:03.010000	0:00:01.160000	उसका परफ्यूम	humor	Keshu,u28
Scene_1	31	0:02:05.290000	0:00:01.080000	उसकी खुशबू	humor	Keshu,u28
Scene_1	32	0:02:07.410000	0:00:03.600000	उसकी आत्मा तुम्हारी तरह मेरे आस पास घूम रही है रही है। उसका क्या?	non-humor	Keshu,u28
Scene_1	33	0:02:11.130000	0:00:01.200000	अच्छा हैं अच्छा हैं..	non-humor	Koki,u32
Scene_1	34	0:02:12.410000	0:00:01	क्या खाक अच्छा है?	humor	Keshu,u33
Scene_1	35	0:02:14.450000	0:00:02.480000	बकवास, बकवास चाय बनाई है।	non-humor	Keshu,u33
Scene_1	36	0:02:17.010000	0:00:02.560000	ये लो कप। जाकर कोने में जाकर काम करो चलो।	non-humor	Keshu,u33
Scene_1	37	0:02:19.930000	0:00:01.760000	मुझे बहुत इम्पॉर्टेंट्स कॉल्स करने हैं।	humor	Keshu,u33
Scene_1	38	0:02:23.090000	0:00:02.640000	पुराने रिस्ते ताजा करने हैं।	humor	Keshu,u33
Scene_1	39	0:02:30.330000	0:00:01.200000	जाओ काम करो।	non-humor	Keshu,u33
Scene_1	40	0:02:36.610000	0:00:01.960000	कौन थी हॉट।।	non-humor	Keshu,u33
Scene_1	41	0:02:40.170000	0:00:01.760000	पुष्पा।	non-humor	Keshu,u33
Scene_1	42	0:02:47.450000	0:00:02.760000	हे, पुश बेबी, योर केश हीयर।	humor	Keshu,u33
Scene_1	43	0:02:51.250000	0:00:00.880000	हाऊ यू डूइंग?	non-humor	Keshu,u33
Scene_1	44	0:02:53.370000	0:00:00.920000	आज शाम को मिलोगी?	non-humor	Keshu,u33
Scene_1	45	0:02:54.810000	0:00:01.640000	नहीं नहीं 6 बजे नहीं  4 बजे 4 बजे।	non-humor	Keshu,u33
Scene_1	46	0:02:57.570000	0:00:01.080000	उसी पुराने गार्डेन में	non-humor	Keshu,u33
Scene_1	47	0:02:58.730000	0:00:01.560000	जहां पुलिस पकड़ कर मुझे मारती थी।	humor	Keshu,u33
Scene_1	48	0:03:01.970000	0:00:00.920000	सेम प्लेस ।	non-humor	Keshu,u33
Scene_1	49	0:03:04.010000	0:00:01.560000	ओके। सी यू ऐट 4	non-humor	Keshu,u33
Scene_1	50	0:03:06.090000	0:00:01.120000	बाय, पुश।	non-humor	Keshu,u33
Scene_1	51	0:03:09.930000	0:00:01.160000	हे ।।	non-humor	Keshu,u33
Scene_1	52	0:03:11.370000	0:00:01.440000	ऐ चल कोने में जाके काम कर। चल..	humor	Keshu,u33
Scene_1	53	0:03:15.090000	0:00:02	कौन है हॉट?	humor	Keshu,u33
Scene_1	54	0:03:17.810000	0:00:01	चंचल ।।	non-humor	Keshu,u33
Scene_1	55	0:03:20.530000	0:00:02.200000	चकाचक चंचल।	humor	Keshu,u33
Scene_1	56	0:03:25.690000	0:00:02.240000	हे, चंचल बेब्स, वाट्स अप?	non-humor	Keshu,u33
Scene_1	57	0:03:28.770000	0:00:00.920000	आज मिलोगी?	non-humor	Keshu,u33
Scene_1	58	0:03:30.570000	0:00:01.640000	नहीं नहीं 9 बजे नहीं 6 बजे	non-humor	Keshu,u33
Scene_1	59	0:03:32.730000	0:00:03.240000	वही पुरानी अपनी होटल मौज मस्ती।	humor	Keshu,u33
Scene_1	60	0:03:37.010000	0:00:02.440000	जम के करेंगे मस्ती। सी या, बेब।	non-humor	Keshu,u33
Scene_1	61a	0:03:41.690000	0:00:01.190000	क्या कर रही हो, इडीयट?	non-humor	Keshu,u33
Scene_1	61b	0:03:42.930000	0:00:01.560000	मच्छर, बाबू जी।	humor	Koki,u61a
Scene_1	62	0:03:45.210000	0:00:02.760000	मच्छर? दूर कोने में जाकर मारो। जाओ।	humor	Keshu,u61b
Scene_1	63	0:03:50.370000	0:00:01.720000	दूसरी कौन थी हॉट?	non-humor	Keshu,u61b
Scene_1	64	0:03:53.170000	0:00:01.440000	चमेली।	humor	Keshu,u61b
Scene_1	65	0:03:58.170000	0:00:01.200000	चम्मू मेरी जान।	humor	Keshu,u61b
Scene_1	66	0:04:00.850000	0:00:02.120000	मिलोगी आज मेरे घर?	non-humor	Keshu,u61b
Scene_1	67	0:04:03.890000	0:00:01.960000	नहीं, 6 बजे नहीं 9 बजे के बाद	non-humor	Keshu,u61b
Scene_1	68	0:04:06.890000	0:00:01.920000	अरे लेट हो जाए, तो यहीं पे सो जाना।	non-humor	Keshu,u61b
Scene_1	69	0:04:10.530000	0:00:00.960000	क्या कर रही हो।	non-humor	Keshu,u61b
Scene_1	70a	0:04:11.810000	0:00:00.256000	सफ़ाई।	humor	Koki,u69
Scene_1	70b	0:04:12.116000	0:00:02.254000	अरे जरा दूर जा के करो। दूर जा के	non-humor	Keshu,u70a
Scene_1	71	0:04:17.010000	0:00:01.560000	नहीं रे। वो मेरी नौकरानी।	non-humor	Keshu,u70a
Scene_1	72	0:04:19.370000	0:00:01.360000	नहीं नही वो नहीं उसके साथ तो  रिस्ता टूट गया था	humor	Keshu,u70a
Scene_1	73	0:04:20.810000	0:00:01.280000	शादी के बाद ही।	non-humor	Keshu,u70a
Scene_1	74	0:04:22.610000	0:00:03.680000	चम्मो, 9 बजे के बाद अपनी शॉर्ट वाली ड्रेस पहन कर आना	humor	Keshu,u70a
Scene_1	75	0:04:26.850000	0:00:02.840000	यू लूकिंग वेरी हॉट, ठीक है? बेब्स, बाय।	humor	Keshu,u70a
Scene_1	76a	0:04:34.930000	0:00:00.688000	सफाई, बाबू जी।	humor	Koki,u75
Scene_1	76b	0:04:35.668000	0:00:00.982000	गुड गुड।	non-humor	Keshu,u76a
Scene_1	77	0:04:36.770000	0:00:03.400000	करती रहो सफाई.. चलो हटो हट ..	humor	Keshu,u76a
						
Scene_2	78a	0:04:45.970000	0:00:01.618182	कैसे हो, केशू पा जी?	humor	Pinki,u-
Scene_2	78b	0:04:47.638182	0:00:01.891818	ठीक हूं जी। आप कैसी हैं?	non-humor	Keshu,u78a
Scene_2	79a	0:04:49.610000	0:00:00.832000	मैं भी अच्छी हूँ।	non-humor	Pinki,u78b
Scene_2	79b	0:04:50.492000	0:00:01.358000	अब नहीं रहोगी।	humor	Keshu,u79a
Scene_2	80	0:04:51.930000	0:00:00.960000	क्या!	non-humor	Pinki,u79b
Scene_2	81	0:04:56.610000	0:00:01.240000	कोकी!	non-humor	Pinki,u79b
Scene_2	82a	0:04:58.410000	0:00:00.970909	कोकी कोकी ..	non-humor	Pinki,u79b
Scene_2	82b	0:04:59.430909	0:00:02.539091	पिंकी, आगे से मुझे कोई नसिहत मत देना।	humor	Koki,u82a
Scene_2	84a	0:05:02.010000	0:00:00.855000	लेकिन हुआ क्या?	non-humor	Pinki,u82b
Scene_2	84b	0:05:02.915000	0:00:01.375000	तूने ही कहा था, ना?	non-humor	Koki,u84a
Scene_2	85	0:05:04.490000	0:00:01.840000	अगर पति का प्यार देखना हो	humor	Koki,u84a
Scene_2	86	0:05:06.410000	0:00:01.760000	तो एक बार मर कर देखो कोकी	humor	Koki,u84a
Scene_2	87a	0:05:08.290000	0:00:00.792000	हाँ। तो ?	non-humor	Pinki,u86
Scene_2	87b	0:05:09.132000	0:00:00.598000	तो?	non-humor	Koki,u87a
Scene_2	88	0:05:10.570000	0:00:01.800000	तूने मुझे, मरना दिया पिंकी।	non-humor	Koki,u87a
Scene_2	89a	0:05:12.450000	0:00:01.656000	लेकिन हो क्या गया?	non-humor	Pinki,u88
Scene_2	89b	0:05:14.156000	0:00:01.054000	पिंकी!	non-humor	Koki,u89a
